,group,distinct_hit_ips,overlaps,avg_overlap_times,avg_dest_ports
969,12817,62242,0.0,0.0,1.2727272727272727
970,12821,62242,0.0,0.0,1.1428571428571428
976,12893,62242,0.0,0.0,1.3333333333333333
980,12859,62242,0.0,0.0,1.4206349206349207
983,12889,62242,0.0,0.0,1.4285714285714286
985,12827,62242,0.0,0.0,1.0277777777777777
987,12854,62242,0.0,0.0,1.4702380952380953
992,12831,62242,0.0,0.0,1.0
993,12815,62242,0.0,0.0,1.3045454545454545
996,12888,62242,0.0,0.0,1.375
1001,12790,62242,0.0,0.0,1.1571428571428573
1008,12795,62242,0.0,0.0,1.2398989898989898
1011,12881,62242,0.0,0.0,1.125
1012,12705,62242,0.0,0.0,1.2083333333333333
1013,12895,62242,0.0,0.0,1.4444444444444444
1014,12769,62242,0.0,0.0,1.1811507936507937
1016,12777,62242,0.0,0.0,1.2666666666666666
1017,12715,62242,0.0,0.0,1.577777777777778
1018,12780,62242,0.0,0.0,1.2857142857142858
1020,12826,62242,0.0,0.0,1.1805555555555556
1021,12816,62242,0.0,0.0,1.190909090909091
1022,12625,62242,0.0,0.0,1.3277777777777777
1023,12774,62242,0.0,0.0,1.2179487179487178
1027,12708,62242,0.0,0.0,1.3630952380952381
1028,12699,62242,0.0,0.0,1.5126984126984127
1030,12719,62242,0.0,0.0,1.6111111111111112
1031,12784,62242,0.0,0.0,1.4523809523809523
1034,12832,62242,0.0,0.0,1.125
1035,12768,62242,0.0,0.0,1.1785714285714286
1036,12869,62242,0.0,0.0,1.3055555555555556
1039,12629,62242,0.0,0.0,1.0
1041,12885,62242,0.0,0.0,1.2777777777777777
1043,12863,62242,0.0,0.0,1.2712121212121212
1045,12840,62242,0.0,0.0,1.1428571428571428
1093,597,62242,0.0,0.0,1.0
1097,12778,62242,0.0,0.0,1.4732142857142856
3,592,62241,0.0,0.0,1.0
232,952,62241,0.0,0.0,1.9
131,9984,62240,0.0,0.0,1.0
47,22841,62239,0.0,0.0,1.0
288,544,62239,0.0,0.0,1.52
419,22851,62239,0.0,0.0,1.0
5,577,62234,0.0,0.0,1.3125
14,303,62226,0.0,0.0,1.7399999999999998
92,2846,62226,0.0,0.0,1.0
118,342,62226,0.0,0.0,1.0
120,712,62226,0.0,0.0,1.0
130,18284,62226,0.0,0.0,2.0
135,11145,62226,0.0,0.0,1.2222222222222223
220,332,62226,0.0,0.0,1.375
228,3627,62226,0.0,0.0,1.0
323,315,62226,0.0,0.0,1.0
333,316,62226,0.0,0.0,1.2964285714285715
356,11175,62226,0.0,0.0,1.125
371,1887,62226,0.0,0.0,1.2708333333333333
414,2848,62226,0.0,0.0,1.0
443,12695,62226,0.0,0.0,1.35
476,718,62226,0.0,0.0,1.0
513,3365,62226,0.0,0.0,1.0
637,622,62226,0.0,0.0,1.25
652,717,62226,0.0,0.0,1.0
657,714,62226,0.0,0.0,1.0
695,3482,62226,0.0,0.0,1.0
874,11371,62226,0.0,0.0,1.1666666666666667
897,6203,62226,0.0,0.0,1.0
921,302,62226,0.0,0.0,1.5
1010,12845,62226,0.0,0.0,1.5
1049,23522,62226,0.0,0.0,1.0
1096,12646,62226,0.0,0.0,1.5
1135,2233,62226,0.0,0.0,1.0625
1052,5072,62222,0.0,0.0,1.0
311,2842,62221,0.0,0.0,2.2
696,652,62220,0.0,0.0,3.25
372,1888,62213,0.0,0.0,1.0
737,18289,62212,0.0,0.0,1.6666666666666667
294,18287,62211,0.0,0.0,2.0
917,357,62201,0.0,0.0,1.0
707,18286,62179,0.0,0.0,1.4
113,334,62171,0.0,0.0,1.0
169,573,62160,0.0,0.0,1.0
516,504,62143,0.0,0.0,1.1666666666666667
